,acc,norm_edit_dis,fps,model,dataset,precision,recall,hmean
0,0.7422448232893245,0.8317366877797413,3148.5253612813026,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.7563567016425069,0.8405358130727207,4181.123664507786,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
0,0.7438262632598589,0.8333426271337785,2777.565327056386,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_5/val_label.txt,,,
0,0.770826144458016,0.8483504441460146,4243.992541041874,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.7587359238948522,0.8448890320558398,3164.3527966558418,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.7754390424104318,0.8512786647906821,4014.732942136509,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.7602615323209143,0.8407057205163229,2960.309098741961,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
0,0.7720974155472644,0.8496225467079992,4224.278401816262,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.7505266976022327,0.836513805258619,2656.745009635169,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.7738771950722123,0.8498273603378523,4016.8372376498337,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
0,0.7524881941500268,0.8390779635628323,2852.591200182259,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.7731202323332509,0.8499035077980949,4107.545054050775,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
0,0.7557379425074535,0.8398615321135936,3197.239657476124,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_6,/home/dataset_labels/rec_08_02_90_k_fold_5_5/val_label.txt,,,
